"metaphln"	"binsPTR"	"binsRelab"	"Ref_PTR"	"Ref_Relab"
"CSM7KOOX"	0.854104611133882	0.844844189548186	0.894906292722316	0.771621917024064	0.799718934986692
"CSM7KOOZ"	0.887637958235069	0.791701846837635	0.891013768937305	0.833932643934857	0.820830021609891
"CSM7KOP2"	0.911024894351671	0.779888682336688	0.891581825763189	0.849646216790838	0.835665101029277
"CSM7KOP6"	0.69279464756211	0.637948101118906	0.846386617350636	0.620747045843859	0.674315179259798
"CSM7KOP8"	0.681097835965971	0.589560203923818	0.81151748587576	0.56055798825955	0.646053490245466
"CSM7KOPE"	0.718975916557378	0.611863617070675	0.817533685583809	0.594739724620222	0.646112697497488
"CSM7KOPG"	0.813305674818657	0.794205088154578	0.817630362013493	0.641855146945408	0.728213803428948
"CSM7KOPI"	0.778692802959138	0.75488262857493	0.809079601766269	0.624112061982676	0.723046166893515
"CSM7KOPK"	0.806928149077804	0.814080779348199	0.826577994936521	0.630493296733743	0.73206607037809
"CSM7KOPM"	0.784081445787925	0.748922351825843	0.81777433082336	0.607236281564472	0.73761987510807
"CSM7KOPO"	0.776236172978033	0.75723468388794	0.833020307246036	0.61412352838244	0.734925463405761
"CSM7KOPS"	0.729448423643397	0.636146051398226	0.736744658927596	0.681423569504197	0.733209297501455
"CSM7KOPU"	0.72352977000975	0.62768677842084	0.78790794408197	0.712410519055435	0.710701607440584
"CSM7KOPW"	0.757418044112659	0.687015418149941	0.788631960407672	0.700681193889403	0.709306962738376
"CSM7KOQ1"	0.708361720078736	0.661120294581812	0.755957712297119	0.731411556245412	0.694660569031737
"CSM7KOQX"	0.638052546047668	0.655969628530799	0.725784121145183	0.607433306991323	0.590408308967987
"CSM7KOR2"	0.684018734234425	0.736448646789006	0.808772848350025	0.607453182577607	0.666914695632114
"CSM7KORC"	0.730115091264414	0.702765178646674	0.883860088080236	0.599268261408467	0.655677963719989
"CSM7KORG"	0.739386680816304	0.744967483686559	0.895764915006964	0.614911010110743	0.675073193727452
"CSM7KORI"	0.772582549765362	0.722015101192963	0.945353861020047	0.723759926664736	0.708670995049389
"CSM7KORK"	0.72320826461785	0.744854195814384	0.902383505403888	0.582853231941821	0.651522406120777
"CSM7KORM"	0.665164292399215	0.508443128562972	0.676770901111329	0.594900268513707	0.659836642353755
"CSM7KORO"	0.676678267083668	0.604593756656676	0.728905913349762	0.681019352831917	0.65981142466776
"CSM7KORS"	0.734184046242109	0.647397774088054	0.789324078130124	0.729860322435512	0.73248956494407
"CSM7KORU"	0.728366953567024	0.635413700604849	0.775489320379698	0.726380732413486	0.733745467400696
"CSM7KOS7"	0.832415817779421	0.754353645133906	0.876541903156579	0.679918912514002	0.871326272301472
"CSM7KOSH"	0.799880482913641	0.76217726230152	0.837566464897724	0.660489835524299	0.838306318427046
"CSM7KOSJ"	0.932314216878345	1	1	0.892489188438659	0.952659839396314
"CSM7KOSL"	0.972929301043245	1	1	0.924135428817092	0.978263422319242
"CSM7KOSP"	0.940578719450779	1	0.996415838158527	0.830860169639052	0.948083427989137
"CSM7KOST"	0.913690573523066	1	0.998850483175373	0.829763807954008	0.937329170934375
"CSM7KOSV"	0.760592792699463	0.669452769660116	0.825701440469654	0.635113047406394	0.679010149092247
"CSM7KOSX"	0.680677136869263	0.582014185611581	0.747486092496723	0.66262366551649	0.651847438243642
"CSM7KOTA"	0.843364297463728	0.859581384015679	0.967098453384306	0.742906230010637	0.838815358657587
"CSM7KOTC"	0.804858660636298	0.885095639768334	0.947576614743287	0.733447184688082	0.768887536781708
"CSM7KOTK"	0.815233808543896	0.892000354429111	0.938424068202779	0.695418832129365	0.769750509495293
"CSM7KOTO"	0.764811763204396	0.588604617019613	0.747504436375976	0.627710730026887	0.674612610366184
"CSM7KOTQ"	0.701841260621882	0.566200561164678	0.707033196787037	0.625115552428055	0.689294282754966
"CSM7KOTS"	0.705132578098836	0.595048548957938	0.725964588511263	0.662569269610603	0.759834429888854
"CSM7KOTU"	0.698580078561889	0.603569315253393	0.729704462723263	0.63813859888756	0.695750136424596
"CSM7KOU9"	0.703631151105841	0.636377935749765	0.821592232923044	0.571308550870292	0.670783323858078
"CSM7KOUB"	0.741167825889452	0.810159529583387	0.903088770877866	0.690702487356782	0.738338038628126
"CSM7KOUL"	0.78032781079292	0.579245222583214	0.859275540900246	0.622469565373663	0.683562563385329
